DATE,HTNPOP
2000-01-01,4739.414
2001-01-01,4851.189
2002-01-01,4978.638
2003-01-01,5084.017
2004-01-01,5190.444
2005-01-01,5299.567
2006-01-01,5484.883
2007-01-01,5597.674
2008-01-01,5726.705
2009-01-01,5867.489
2010-01-01,5947.409
2011-01-01,6056.366
2012-01-01,6184.861
2013-01-01,6330.657
2014-01-01,6503.618
2015-01-01,6676.565
2016-01-01,6812.26
2017-01-01,6905.695
2018-01-01,6997.384
